Lap,Albon,Alonso,Bottas,Gasly,Hamilton,Latifi,Leclerc,Magnussen,Norris,Ocon,Perez,Ricciardo,Russell,Sainz,Schumacher,Stroll,Tsunoda,Verstappen,Vettel,Zhou
0,20.0,10.0,12.0,11.0,5.0,18.0,1.0,16.0,4.0,8.0,3.0,7.0,6.0,9.0,15.0,19.0,13.0,2.0,17.0,14.0
2,19.0,10.0,12.0,9.0,3.0,17.0,1.0,15.0,6.0,8.0,4.0,7.0,5.0,,13.0,18.0,11.0,2.0,16.0,14.0
3,19.0,10.0,12.0,9.0,3.0,17.0,1.0,15.0,6.0,8.0,4.0,7.0,5.0,,13.0,18.0,11.0,2.0,16.0,14.0
4,18.0,10.0,12.0,9.0,3.0,17.0,1.0,15.0,6.0,8.0,4.0,7.0,5.0,,13.0,19.0,11.0,2.0,16.0,14.0
5,18.0,10.0,12.0,9.0,3.0,17.0,1.0,15.0,6.0,8.0,4.0,7.0,5.0,,13.0,19.0,11.0,2.0,16.0,14.0
6,18.0,10.0,12.0,9.0,3.0,17.0,1.0,15.0,6.0,8.0,4.0,7.0,5.0,,13.0,19.0,11.0,2.0,16.0,14.0
7,18.0,10.0,12.0,9.0,3.0,17.0,1.0,15.0,6.0,8.0,4.0,7.0,5.0,,13.0,19.0,11.0,2.0,16.0,14.0
8,18.0,10.0,12.0,9.0,3.0,17.0,1.0,15.0,6.0,8.0,4.0,7.0,5.0,,13.0,19.0,11.0,2.0,16.0,14.0
9,18.0,10.0,12.0,9.0,3.0,17.0,1.0,15.0,6.0,8.0,4.0,7.0,5.0,,13.0,19.0,11.0,2.0,16.0,14.0
10,18.0,10.0,12.0,9.0,3.0,17.0,1.0,15.0,6.0,8.0,4.0,7.0,5.0,,13.0,19.0,11.0,2.0,16.0,14.0
11,17.0,10.0,12.0,9.0,4.0,16.0,1.0,15.0,6.0,8.0,3.0,7.0,5.0,,13.0,18.0,11.0,2.0,19.0,14.0
12,17.0,10.0,12.0,9.0,4.0,16.0,1.0,14.0,6.0,8.0,3.0,7.0,5.0,,13.0,18.0,11.0,2.0,19.0,15.0
13,17.0,10.0,12.0,9.0,4.0,16.0,1.0,13.0,6.0,8.0,3.0,7.0,5.0,,15.0,18.0,11.0,2.0,19.0,14.0
14,16.0,10.0,12.0,9.0,4.0,19.0,1.0,13.0,6.0,8.0,3.0,7.0,5.0,,15.0,17.0,11.0,2.0,18.0,14.0
15,15.0,10.0,12.0,9.0,4.0,19.0,1.0,13.0,6.0,8.0,3.0,7.0,5.0,,18.0,16.0,11.0,2.0,17.0,14.0
16,15.0,10.0,12.0,9.0,4.0,19.0,1.0,13.0,6.0,8.0,3.0,7.0,5.0,,18.0,16.0,11.0,2.0,17.0,14.0
17,15.0,10.0,11.0,9.0,4.0,19.0,1.0,14.0,6.0,8.0,3.0,7.0,5.0,,18.0,16.0,12.0,2.0,17.0,13.0
18,14.0,9.0,10.0,8.0,4.0,19.0,1.0,13.0,6.0,17.0,3.0,7.0,5.0,,18.0,15.0,11.0,2.0,16.0,12.0
19,13.0,9.0,10.0,8.0,3.0,19.0,1.0,12.0,5.0,16.0,2.0,6.0,4.0,,18.0,14.0,17.0,7.0,15.0,11.0
20,13.0,8.0,10.0,9.0,3.0,19.0,1.0,11.0,5.0,16.0,2.0,6.0,4.0,,18.0,14.0,17.0,7.0,15.0,12.0
21,13.0,7.0,9.0,8.0,2.0,19.0,1.0,11.0,10.0,16.0,6.0,4.0,3.0,,18.0,14.0,17.0,5.0,15.0,12.0
22,11.0,5.0,6.0,15.0,2.0,19.0,1.0,8.0,10.0,14.0,7.0,9.0,3.0,,18.0,12.0,17.0,4.0,13.0,16.0
23,11.0,5.0,13.0,14.0,4.0,18.0,1.0,7.0,8.0,12.0,6.0,9.0,2.0,,16.0,10.0,15.0,3.0,,17.0
24,10.0,4.0,13.0,14.0,6.0,18.0,1.0,7.0,8.0,11.0,5.0,9.0,3.0,,16.0,12.0,15.0,2.0,,17.0
