Lap,Albon,Alonso,Bottas,Gasly,Hamilton,Latifi,Leclerc,Magnussen,Norris,Ocon,Perez,Ricciardo,Russell,Sainz,Schumacher,Stroll,Tsunoda,Verstappen,Vettel,Zhou
0,15.0,19.0,0.0,14.0,8.0,17.0,2.0,7.0,10.0,6.0,5.0,11.0,4.0,3.0,9.0,12.0,16.0,1.0,18.0,13.0
2,13.0,18.0,19.0,12.0,7.0,16.0,2.0,6.0,10.0,5.0,20.0,9.0,4.0,3.0,8.0,11.0,15.0,1.0,17.0,14.0
3,13.0,17.0,19.0,12.0,7.0,16.0,2.0,6.0,10.0,5.0,20.0,9.0,4.0,3.0,8.0,11.0,14.0,1.0,18.0,15.0
4,13.0,17.0,19.0,12.0,7.0,16.0,2.0,6.0,10.0,5.0,20.0,9.0,4.0,3.0,8.0,11.0,14.0,1.0,18.0,15.0
5,13.0,17.0,19.0,12.0,8.0,16.0,2.0,6.0,10.0,5.0,20.0,9.0,4.0,3.0,7.0,11.0,14.0,1.0,18.0,15.0
6,13.0,17.0,19.0,12.0,8.0,16.0,2.0,6.0,9.0,5.0,20.0,10.0,4.0,3.0,7.0,11.0,14.0,1.0,18.0,15.0
7,13.0,17.0,19.0,12.0,8.0,16.0,2.0,6.0,9.0,5.0,20.0,10.0,4.0,3.0,7.0,11.0,14.0,1.0,18.0,15.0
8,13.0,17.0,19.0,12.0,8.0,16.0,2.0,6.0,9.0,5.0,20.0,10.0,4.0,3.0,7.0,11.0,14.0,1.0,18.0,15.0
9,13.0,17.0,19.0,12.0,8.0,16.0,2.0,6.0,9.0,5.0,20.0,10.0,4.0,3.0,7.0,11.0,14.0,1.0,18.0,15.0
10,13.0,17.0,19.0,12.0,8.0,16.0,2.0,6.0,9.0,5.0,20.0,10.0,4.0,3.0,7.0,11.0,14.0,1.0,18.0,15.0
11,13.0,17.0,19.0,12.0,8.0,16.0,2.0,6.0,9.0,5.0,20.0,10.0,4.0,3.0,7.0,11.0,14.0,1.0,18.0,15.0
12,14.0,17.0,19.0,12.0,7.0,16.0,2.0,5.0,9.0,4.0,20.0,10.0,8.0,3.0,6.0,11.0,13.0,1.0,18.0,15.0
13,17.0,14.0,18.0,12.0,7.0,16.0,1.0,5.0,8.0,4.0,20.0,10.0,19.0,3.0,6.0,9.0,11.0,2.0,15.0,13.0
14,15.0,12.0,16.0,17.0,7.0,18.0,1.0,5.0,8.0,4.0,20.0,14.0,19.0,2.0,6.0,9.0,10.0,3.0,13.0,11.0
15,15.0,12.0,16.0,17.0,5.0,18.0,1.0,4.0,8.0,3.0,20.0,14.0,19.0,2.0,6.0,9.0,10.0,7.0,13.0,11.0
16,15.0,11.0,17.0,16.0,4.0,19.0,1.0,7.0,13.0,3.0,20.0,14.0,18.0,2.0,5.0,8.0,9.0,6.0,12.0,10.0
17,15.0,10.0,17.0,16.0,3.0,19.0,1.0,12.0,13.0,5.0,20.0,14.0,18.0,2.0,6.0,7.0,8.0,4.0,11.0,9.0
18,15.0,8.0,18.0,16.0,3.0,19.0,1.0,11.0,12.0,10.0,20.0,13.0,17.0,2.0,14.0,5.0,6.0,4.0,9.0,7.0
19,15.0,8.0,18.0,16.0,4.0,19.0,1.0,11.0,12.0,10.0,20.0,13.0,17.0,2.0,14.0,5.0,6.0,3.0,9.0,7.0
20,15.0,8.0,18.0,16.0,4.0,19.0,1.0,11.0,12.0,10.0,20.0,14.0,17.0,2.0,13.0,5.0,6.0,3.0,9.0,7.0
21,15.0,8.0,18.0,16.0,4.0,19.0,1.0,10.0,11.0,9.0,20.0,14.0,17.0,2.0,12.0,5.0,6.0,3.0,13.0,7.0
22,14.0,9.0,17.0,16.0,4.0,18.0,1.0,10.0,11.0,8.0,20.0,13.0,15.0,2.0,12.0,5.0,6.0,3.0,19.0,7.0
23,14.0,9.0,17.0,16.0,4.0,18.0,1.0,10.0,11.0,7.0,20.0,13.0,15.0,2.0,12.0,5.0,6.0,3.0,19.0,8.0
24,14.0,9.0,17.0,16.0,4.0,18.0,1.0,10.0,11.0,6.0,20.0,13.0,15.0,2.0,12.0,5.0,7.0,3.0,19.0,8.0
