Lap,Albon,Alonso,Bottas,Gasly,Hamilton,Latifi,Leclerc,Magnussen,Norris,Ocon,Perez,Ricciardo,Russell,Sainz,Schumacher,Stroll,Tsunoda,Verstappen,Vettel,Zhou
0,18.0,11.0,5.0,7.0,6.0,19.0,1.0,16.0,8.0,20.0,4.0,14.0,12.0,2.0,15.0,0.0,9.0,3.0,0.0,17.0
2,16.0,7.0,5.0,6.0,8.0,17.0,1.0,13.0,9.0,18.0,4.0,11.0,15.0,3.0,12.0,19.0,10.0,2.0,20.0,14.0
3,16.0,7.0,5.0,6.0,8.0,18.0,1.0,13.0,9.0,17.0,4.0,12.0,15.0,3.0,11.0,19.0,10.0,2.0,20.0,14.0
4,16.0,8.0,5.0,6.0,7.0,18.0,1.0,12.0,9.0,17.0,4.0,13.0,15.0,3.0,11.0,19.0,10.0,2.0,20.0,14.0
5,16.0,8.0,5.0,6.0,7.0,18.0,1.0,12.0,9.0,17.0,4.0,13.0,15.0,3.0,11.0,19.0,10.0,2.0,20.0,14.0
6,16.0,8.0,5.0,6.0,7.0,18.0,1.0,12.0,9.0,17.0,4.0,13.0,15.0,3.0,11.0,19.0,10.0,2.0,20.0,14.0
7,15.0,8.0,5.0,7.0,6.0,17.0,1.0,11.0,9.0,16.0,4.0,13.0,14.0,3.0,10.0,18.0,12.0,2.0,19.0,
8,14.0,8.0,5.0,7.0,6.0,17.0,1.0,11.0,9.0,16.0,4.0,13.0,15.0,3.0,10.0,18.0,12.0,2.0,19.0,
9,15.0,8.0,5.0,7.0,6.0,17.0,1.0,11.0,9.0,16.0,4.0,13.0,14.0,3.0,10.0,18.0,12.0,2.0,19.0,
10,15.0,8.0,5.0,7.0,6.0,17.0,2.0,11.0,9.0,16.0,4.0,13.0,14.0,3.0,10.0,18.0,12.0,1.0,19.0,
11,15.0,8.0,5.0,7.0,6.0,17.0,2.0,11.0,9.0,16.0,4.0,12.0,14.0,3.0,10.0,18.0,13.0,1.0,19.0,
12,14.0,8.0,5.0,7.0,6.0,17.0,2.0,10.0,9.0,15.0,4.0,12.0,13.0,3.0,11.0,18.0,16.0,1.0,19.0,
13,14.0,8.0,5.0,7.0,6.0,16.0,2.0,13.0,9.0,15.0,4.0,11.0,12.0,3.0,10.0,17.0,19.0,1.0,18.0,
14,13.0,8.0,5.0,7.0,6.0,15.0,2.0,18.0,9.0,14.0,4.0,12.0,11.0,3.0,10.0,16.0,19.0,1.0,17.0,
15,13.0,8.0,5.0,7.0,6.0,15.0,2.0,18.0,9.0,14.0,4.0,11.0,10.0,3.0,12.0,16.0,19.0,1.0,17.0,
16,12.0,9.0,5.0,7.0,6.0,15.0,2.0,17.0,8.0,13.0,4.0,11.0,10.0,3.0,18.0,14.0,19.0,1.0,16.0,
17,12.0,13.0,5.0,7.0,6.0,17.0,2.0,16.0,8.0,11.0,4.0,10.0,9.0,3.0,18.0,14.0,19.0,1.0,15.0,
18,19.0,12.0,5.0,11.0,6.0,17.0,2.0,15.0,7.0,10.0,4.0,9.0,8.0,3.0,16.0,13.0,18.0,1.0,14.0,
19,19.0,12.0,5.0,11.0,6.0,17.0,2.0,15.0,8.0,10.0,4.0,9.0,7.0,3.0,16.0,13.0,18.0,1.0,14.0,
20,18.0,11.0,5.0,10.0,6.0,17.0,2.0,14.0,16.0,9.0,4.0,8.0,7.0,3.0,15.0,12.0,19.0,1.0,13.0,
21,17.0,11.0,5.0,10.0,6.0,18.0,2.0,14.0,16.0,9.0,4.0,8.0,7.0,3.0,15.0,12.0,19.0,1.0,13.0,
22,17.0,11.0,5.0,10.0,6.0,18.0,2.0,14.0,16.0,9.0,4.0,8.0,7.0,3.0,15.0,12.0,19.0,1.0,13.0,
23,17.0,11.0,5.0,10.0,6.0,18.0,2.0,14.0,16.0,9.0,4.0,8.0,7.0,3.0,15.0,12.0,19.0,1.0,13.0,
24,17.0,11.0,5.0,10.0,7.0,18.0,2.0,14.0,16.0,9.0,4.0,8.0,6.0,3.0,15.0,12.0,19.0,1.0,13.0,
25,17.0,11.0,5.0,10.0,7.0,19.0,3.0,14.0,16.0,9.0,4.0,8.0,6.0,2.0,15.0,12.0,18.0,1.0,13.0,
26,17.0,11.0,5.0,10.0,7.0,19.0,4.0,14.0,16.0,9.0,3.0,8.0,6.0,2.0,15.0,12.0,18.0,1.0,13.0,
27,17.0,11.0,5.0,10.0,7.0,19.0,4.0,14.0,16.0,9.0,3.0,8.0,6.0,2.0,15.0,12.0,18.0,1.0,13.0,
28,17.0,11.0,6.0,10.0,7.0,19.0,3.0,13.0,16.0,9.0,4.0,8.0,5.0,1.0,15.0,12.0,18.0,2.0,14.0,
29,17.0,11.0,6.0,10.0,7.0,19.0,2.0,13.0,16.0,9.0,4.0,8.0,5.0,3.0,15.0,12.0,18.0,1.0,14.0,
30,17.0,11.0,6.0,10.0,7.0,19.0,2.0,13.0,16.0,9.0,4.0,8.0,5.0,3.0,15.0,12.0,18.0,1.0,14.0,
31,17.0,11.0,6.0,9.0,7.0,19.0,2.0,14.0,16.0,8.0,4.0,10.0,5.0,3.0,15.0,12.0,18.0,1.0,13.0,
32,16.0,10.0,6.0,9.0,7.0,19.0,2.0,12.0,15.0,8.0,4.0,17.0,5.0,3.0,13.0,11.0,18.0,1.0,14.0,
33,16.0,10.0,6.0,9.0,7.0,19.0,2.0,12.0,15.0,8.0,4.0,17.0,5.0,3.0,13.0,11.0,18.0,1.0,14.0,
