Lap,Albon,Alonso,Bottas,Gasly,Hamilton,Latifi,Leclerc,Magnussen,Norris,Ocon,Perez,Ricciardo,Russell,Sainz,Schumacher,Stroll,Tsunoda,Verstappen,Vettel,Zhou
0,16.0,7.0,12.0,11.0,5.0,10.0,3.0,17.0,6.0,15.0,4.0,14.0,8.0,1.0,19.0,20.0,13.0,2.0,18.0,9.0
2,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,9.0,9.0,9.0,
3,,7.0,10.0,9.0,5.0,8.0,3.0,14.0,6.0,13.0,4.0,12.0,,1.0,16.0,17.0,11.0,2.0,15.0,
4,,8.0,13.0,7.0,6.0,10.0,3.0,15.0,5.0,11.0,4.0,12.0,,1.0,17.0,16.0,9.0,2.0,14.0,
5,,8.0,12.0,7.0,6.0,11.0,3.0,15.0,5.0,10.0,4.0,13.0,,1.0,16.0,17.0,9.0,2.0,14.0,
6,,7.0,12.0,8.0,6.0,11.0,3.0,15.0,5.0,10.0,4.0,13.0,,1.0,16.0,17.0,9.0,2.0,14.0,
7,,6.0,11.0,7.0,4.0,10.0,3.0,14.0,5.0,9.0,17.0,13.0,,1.0,15.0,16.0,8.0,2.0,12.0,
8,,6.0,11.0,7.0,4.0,10.0,3.0,13.0,5.0,9.0,16.0,12.0,,1.0,14.0,15.0,8.0,2.0,17.0,
9,,6.0,11.0,7.0,4.0,10.0,3.0,13.0,5.0,9.0,16.0,12.0,,1.0,14.0,15.0,8.0,2.0,17.0,
10,,6.0,11.0,7.0,4.0,10.0,3.0,13.0,5.0,9.0,16.0,12.0,,1.0,14.0,15.0,8.0,2.0,17.0,
11,,6.0,11.0,7.0,4.0,10.0,3.0,13.0,5.0,9.0,16.0,12.0,,2.0,14.0,15.0,8.0,1.0,17.0,
12,,6.0,9.0,13.0,4.0,8.0,3.0,11.0,5.0,7.0,16.0,10.0,,2.0,12.0,14.0,15.0,1.0,17.0,
13,,6.0,9.0,13.0,4.0,8.0,3.0,11.0,5.0,7.0,16.0,10.0,,2.0,12.0,14.0,15.0,1.0,17.0,
14,,5.0,9.0,13.0,3.0,8.0,2.0,11.0,4.0,7.0,15.0,10.0,,1.0,12.0,14.0,16.0,6.0,17.0,
15,,5.0,9.0,13.0,3.0,8.0,2.0,11.0,4.0,7.0,15.0,10.0,,1.0,12.0,14.0,16.0,6.0,17.0,
16,,5.0,9.0,13.0,3.0,8.0,2.0,12.0,4.0,7.0,15.0,10.0,,1.0,11.0,14.0,16.0,6.0,17.0,
17,,5.0,9.0,13.0,3.0,8.0,2.0,12.0,4.0,7.0,14.0,10.0,,1.0,11.0,17.0,15.0,6.0,16.0,
18,,5.0,9.0,16.0,3.0,8.0,2.0,12.0,4.0,7.0,13.0,10.0,,1.0,11.0,17.0,14.0,6.0,15.0,
19,,5.0,9.0,16.0,3.0,8.0,2.0,13.0,4.0,7.0,12.0,10.0,,1.0,11.0,17.0,14.0,6.0,15.0,
20,,5.0,9.0,15.0,3.0,8.0,2.0,13.0,4.0,7.0,12.0,11.0,,1.0,10.0,16.0,17.0,6.0,14.0,
21,,5.0,,14.0,3.0,12.0,2.0,10.0,4.0,7.0,8.0,9.0,,1.0,13.0,15.0,16.0,6.0,11.0,
22,,5.0,,14.0,2.0,11.0,1.0,9.0,4.0,7.0,8.0,13.0,,3.0,12.0,15.0,16.0,6.0,10.0,
23,,5.0,,14.0,2.0,11.0,1.0,9.0,4.0,7.0,8.0,13.0,,3.0,12.0,15.0,16.0,6.0,10.0,
24,,5.0,,14.0,2.0,9.0,1.0,12.0,4.0,10.0,7.0,13.0,,3.0,11.0,15.0,16.0,6.0,8.0,
25,,5.0,,14.0,2.0,9.0,1.0,12.0,4.0,10.0,6.0,13.0,,3.0,11.0,15.0,16.0,8.0,7.0,
26,,5.0,,14.0,2.0,9.0,1.0,12.0,4.0,10.0,6.0,13.0,,3.0,11.0,15.0,16.0,8.0,7.0,
27,,5.0,,,1.0,9.0,3.0,12.0,4.0,10.0,6.0,13.0,,2.0,11.0,14.0,15.0,8.0,7.0,
28,,5.0,,,1.0,9.0,3.0,12.0,4.0,10.0,6.0,13.0,,2.0,11.0,14.0,15.0,8.0,7.0,
29,,5.0,,,1.0,9.0,3.0,12.0,4.0,10.0,6.0,13.0,,2.0,11.0,14.0,15.0,8.0,7.0,
30,,5.0,,,1.0,10.0,3.0,12.0,4.0,9.0,6.0,13.0,,2.0,11.0,14.0,15.0,8.0,7.0,
31,,5.0,,,1.0,10.0,3.0,12.0,4.0,9.0,6.0,13.0,,2.0,11.0,14.0,15.0,8.0,7.0,
32,,5.0,,,1.0,10.0,2.0,12.0,4.0,9.0,6.0,13.0,,3.0,11.0,14.0,15.0,8.0,7.0,
33,,5.0,,,1.0,11.0,2.0,12.0,4.0,9.0,6.0,13.0,,3.0,10.0,14.0,15.0,8.0,7.0,
34,,5.0,,,1.0,12.0,2.0,11.0,4.0,9.0,6.0,14.0,,3.0,10.0,13.0,15.0,8.0,7.0,
35,,6.0,,,3.0,12.0,1.0,11.0,4.0,9.0,5.0,14.0,,2.0,10.0,13.0,15.0,8.0,7.0,
36,,6.0,,,3.0,12.0,1.0,11.0,5.0,9.0,4.0,14.0,,2.0,10.0,13.0,15.0,8.0,7.0,
37,,6.0,,,3.0,12.0,1.0,11.0,5.0,8.0,4.0,14.0,,2.0,10.0,13.0,15.0,9.0,7.0,
38,,6.0,,,3.0,11.0,1.0,10.0,5.0,,4.0,13.0,,2.0,9.0,12.0,14.0,8.0,7.0,
39,,6.0,,,3.0,11.0,1.0,10.0,5.0,,4.0,13.0,,2.0,9.0,12.0,14.0,8.0,7.0,
40,,5.0,,,3.0,11.0,2.0,10.0,6.0,,4.0,13.0,,1.0,9.0,12.0,14.0,8.0,7.0,
41,,6.0,,,3.0,12.0,1.0,8.0,5.0,,4.0,13.0,,2.0,11.0,9.0,14.0,10.0,7.0,
42,,5.0,,,3.0,11.0,1.0,8.0,6.0,,4.0,13.0,,2.0,10.0,12.0,14.0,9.0,7.0,
43,,5.0,,,3.0,11.0,1.0,8.0,6.0,,4.0,13.0,,2.0,10.0,12.0,14.0,9.0,7.0,
44,,5.0,,,4.0,11.0,2.0,10.0,6.0,,3.0,13.0,,1.0,9.0,12.0,14.0,8.0,7.0,
45,,5.0,,,4.0,11.0,2.0,10.0,6.0,,3.0,13.0,,1.0,9.0,12.0,14.0,7.0,8.0,
46,,5.0,,,2.0,11.0,4.0,10.0,6.0,,3.0,13.0,,1.0,8.0,12.0,14.0,7.0,9.0,
47,,5.0,,,4.0,11.0,3.0,10.0,6.0,,2.0,13.0,,1.0,8.0,12.0,14.0,7.0,9.0,
48,,5.0,,,4.0,11.0,3.0,10.0,6.0,,2.0,13.0,,1.0,8.0,12.0,14.0,7.0,9.0,
49,,5.0,,,3.0,11.0,4.0,10.0,6.0,,2.0,13.0,,1.0,8.0,12.0,14.0,7.0,9.0,
50,,5.0,,,3.0,12.0,4.0,10.0,6.0,,2.0,13.0,,1.0,8.0,11.0,14.0,7.0,9.0,
51,,5.0,,,3.0,12.0,4.0,10.0,6.0,,2.0,13.0,,1.0,8.0,11.0,14.0,7.0,9.0,
52,,5.0,,,3.0,12.0,4.0,10.0,6.0,,2.0,13.0,,1.0,8.0,11.0,14.0,7.0,9.0,
