Lap,Albon,Alonso,Bottas,Gasly,Hamilton,Latifi,Leclerc,Magnussen,Norris,Ocon,Perez,Ricciardo,Russell,Sainz,Schumacher,Stroll,Tsunoda,Verstappen,Vettel,Zhou
2,20.0,6.0,16.0,7.0,4.0,17.0,2.0,12.0,5.0,15.0,1.0,13.0,18.0,3.0,14.0,11.0,9.0,10.0,8.0,19.0
3,20.0,6.0,16.0,7.0,4.0,17.0,2.0,12.0,5.0,15.0,1.0,13.0,18.0,3.0,14.0,11.0,10.0,9.0,8.0,19.0
4,20.0,6.0,16.0,7.0,4.0,18.0,2.0,12.0,5.0,15.0,1.0,13.0,17.0,3.0,14.0,11.0,10.0,9.0,8.0,19.0
5,20.0,6.0,16.0,7.0,4.0,18.0,2.0,12.0,5.0,15.0,1.0,13.0,17.0,3.0,14.0,11.0,10.0,9.0,8.0,19.0
6,20.0,6.0,16.0,7.0,4.0,18.0,2.0,12.0,5.0,15.0,1.0,13.0,17.0,3.0,14.0,11.0,10.0,9.0,8.0,19.0
7,18.0,6.0,15.0,7.0,4.0,19.0,2.0,16.0,5.0,14.0,1.0,12.0,17.0,3.0,13.0,11.0,10.0,9.0,8.0,
8,17.0,6.0,15.0,7.0,4.0,,2.0,18.0,5.0,14.0,1.0,12.0,16.0,3.0,13.0,11.0,10.0,9.0,8.0,
9,17.0,6.0,15.0,7.0,4.0,,2.0,18.0,5.0,14.0,1.0,12.0,16.0,3.0,13.0,11.0,10.0,9.0,8.0,
10,17.0,6.0,15.0,7.0,4.0,,2.0,18.0,5.0,14.0,1.0,12.0,16.0,3.0,13.0,11.0,10.0,9.0,8.0,
11,17.0,6.0,15.0,8.0,4.0,,2.0,18.0,5.0,14.0,1.0,12.0,16.0,3.0,13.0,11.0,10.0,7.0,9.0,
12,17.0,6.0,15.0,8.0,4.0,,2.0,18.0,5.0,14.0,1.0,12.0,16.0,3.0,13.0,11.0,10.0,7.0,9.0,
13,17.0,6.0,15.0,8.0,4.0,,2.0,18.0,5.0,14.0,1.0,12.0,16.0,3.0,13.0,11.0,10.0,7.0,9.0,
14,17.0,6.0,15.0,8.0,4.0,,2.0,18.0,5.0,14.0,1.0,12.0,16.0,3.0,13.0,11.0,10.0,7.0,9.0,
15,17.0,6.0,15.0,8.0,4.0,,2.0,18.0,5.0,14.0,1.0,12.0,16.0,3.0,13.0,11.0,10.0,7.0,9.0,
16,17.0,6.0,15.0,8.0,4.0,,2.0,18.0,5.0,14.0,1.0,12.0,16.0,3.0,13.0,11.0,10.0,7.0,9.0,
17,17.0,6.0,15.0,8.0,4.0,,2.0,18.0,5.0,14.0,1.0,12.0,16.0,3.0,13.0,11.0,10.0,7.0,9.0,
18,17.0,6.0,15.0,8.0,4.0,,2.0,18.0,5.0,14.0,1.0,12.0,16.0,3.0,13.0,11.0,10.0,7.0,9.0,
19,17.0,6.0,15.0,8.0,4.0,,2.0,18.0,5.0,14.0,1.0,12.0,16.0,3.0,13.0,11.0,10.0,7.0,9.0,
20,17.0,6.0,15.0,8.0,4.0,,2.0,18.0,5.0,14.0,1.0,12.0,16.0,3.0,13.0,11.0,10.0,7.0,9.0,
21,16.0,,14.0,7.0,4.0,,2.0,17.0,5.0,13.0,1.0,10.0,15.0,3.0,11.0,9.0,12.0,6.0,8.0,
22,16.0,,14.0,7.0,4.0,,2.0,15.0,5.0,13.0,1.0,10.0,17.0,3.0,11.0,9.0,12.0,6.0,8.0,
23,16.0,,14.0,7.0,4.0,,2.0,15.0,5.0,13.0,1.0,10.0,17.0,3.0,11.0,9.0,12.0,6.0,8.0,
24,16.0,,14.0,7.0,4.0,,2.0,15.0,5.0,13.0,1.0,10.0,17.0,3.0,11.0,9.0,12.0,6.0,8.0,
25,17.0,,14.0,7.0,4.0,,2.0,15.0,5.0,13.0,1.0,10.0,16.0,3.0,11.0,9.0,12.0,6.0,8.0,
26,,,14.0,7.0,4.0,,2.0,15.0,5.0,13.0,1.0,10.0,16.0,3.0,11.0,9.0,12.0,6.0,8.0,
27,,,13.0,7.0,4.0,,2.0,14.0,5.0,,1.0,10.0,15.0,3.0,11.0,9.0,12.0,6.0,8.0,
28,,,13.0,7.0,4.0,,2.0,14.0,5.0,,1.0,10.0,15.0,3.0,11.0,9.0,12.0,6.0,8.0,
29,,,13.0,7.0,4.0,,2.0,14.0,5.0,,1.0,10.0,15.0,3.0,11.0,9.0,12.0,6.0,8.0,
30,,,13.0,7.0,4.0,,2.0,14.0,5.0,,1.0,10.0,15.0,3.0,11.0,9.0,12.0,6.0,8.0,
31,,,13.0,7.0,4.0,,2.0,14.0,5.0,,1.0,10.0,15.0,3.0,11.0,9.0,12.0,6.0,8.0,
32,,,13.0,7.0,4.0,,2.0,14.0,5.0,,1.0,10.0,15.0,3.0,11.0,9.0,12.0,6.0,8.0,
33,,,13.0,9.0,5.0,,2.0,14.0,4.0,,1.0,10.0,15.0,3.0,11.0,8.0,12.0,6.0,7.0,
34,,,13.0,11.0,6.0,,2.0,14.0,4.0,,1.0,9.0,15.0,3.0,10.0,7.0,12.0,5.0,8.0,
35,,,12.0,10.0,9.0,,3.0,13.0,4.0,,1.0,6.0,14.0,2.0,11.0,7.0,,5.0,8.0,
36,,,12.0,10.0,9.0,,2.0,13.0,3.0,,1.0,5.0,14.0,4.0,11.0,7.0,,6.0,8.0,
37,,,12.0,10.0,9.0,,2.0,13.0,4.0,,1.0,6.0,14.0,3.0,11.0,7.0,,5.0,8.0,
38,,,12.0,10.0,9.0,,2.0,13.0,4.0,,1.0,6.0,14.0,3.0,11.0,7.0,,5.0,8.0,
39,,,12.0,10.0,9.0,,2.0,13.0,4.0,,1.0,6.0,14.0,3.0,11.0,7.0,,5.0,8.0,
40,,,12.0,9.0,8.0,,2.0,14.0,4.0,,1.0,5.0,11.0,3.0,10.0,6.0,,13.0,7.0,
41,,,10.0,9.0,8.0,,2.0,11.0,4.0,,1.0,5.0,14.0,3.0,13.0,6.0,,12.0,7.0,
42,,,10.0,9.0,8.0,,2.0,11.0,4.0,,1.0,5.0,14.0,3.0,13.0,6.0,,12.0,7.0,
43,,,10.0,9.0,8.0,,2.0,11.0,4.0,,1.0,5.0,14.0,3.0,13.0,6.0,,12.0,7.0,
44,,,10.0,9.0,8.0,,2.0,11.0,4.0,,1.0,5.0,14.0,3.0,13.0,6.0,,12.0,7.0,
45,,,10.0,9.0,8.0,,2.0,11.0,4.0,,1.0,5.0,14.0,3.0,13.0,6.0,,12.0,7.0,
46,,,10.0,9.0,8.0,,2.0,11.0,4.0,,1.0,5.0,13.0,3.0,14.0,6.0,,12.0,7.0,
47,,,10.0,9.0,8.0,,2.0,12.0,4.0,,1.0,5.0,13.0,3.0,14.0,6.0,,11.0,7.0,
48,,,10.0,9.0,8.0,,2.0,12.0,4.0,,1.0,5.0,13.0,3.0,14.0,6.0,,11.0,7.0,
49,,,10.0,9.0,8.0,,2.0,12.0,4.0,,1.0,5.0,13.0,3.0,14.0,6.0,,11.0,7.0,
50,,,11.0,9.0,8.0,,2.0,12.0,4.0,,1.0,5.0,13.0,3.0,14.0,6.0,,10.0,7.0,
51,,,11.0,10.0,8.0,,2.0,12.0,4.0,,1.0,5.0,14.0,3.0,13.0,6.0,,9.0,7.0,
52,,,11.0,10.0,8.0,,2.0,12.0,4.0,,1.0,5.0,14.0,3.0,13.0,6.0,,9.0,7.0,
53,,,11.0,10.0,8.0,,2.0,12.0,4.0,,1.0,5.0,14.0,3.0,13.0,6.0,,9.0,7.0,
54,,,11.0,10.0,8.0,,2.0,12.0,4.0,,1.0,5.0,14.0,3.0,13.0,6.0,,9.0,7.0,
55,,,11.0,10.0,8.0,,2.0,12.0,4.0,,1.0,5.0,14.0,3.0,13.0,6.0,,9.0,7.0,
56,,,11.0,10.0,8.0,,2.0,12.0,4.0,,1.0,5.0,14.0,3.0,13.0,6.0,,9.0,7.0,
57,,,11.0,10.0,9.0,,2.0,12.0,4.0,,1.0,5.0,14.0,3.0,13.0,6.0,,8.0,7.0,
58,,,11.0,10.0,9.0,,2.0,12.0,4.0,,1.0,5.0,,3.0,13.0,6.0,,8.0,7.0,
59,,,11.0,10.0,9.0,,2.0,12.0,4.0,,1.0,5.0,,3.0,,6.0,,7.0,8.0,
