Lap,Albon,Alonso,Bottas,Gasly,Hamilton,Latifi,Leclerc,Magnussen,Norris,Ocon,Perez,Ricciardo,Russell,Sainz,Schumacher,Stroll,Tsunoda,Verstappen,Vettel,Zhou
0,17.0,10.0,15.0,6.0,7.0,18.0,1.0,16.0,11.0,13.0,2.0,12.0,5.0,4.0,20.0,19.0,8.0,3.0,9.0,14.0
2,15.0,10.0,16.0,6.0,7.0,19.0,2.0,18.0,11.0,13.0,1.0,12.0,5.0,4.0,20.0,17.0,9.0,3.0,8.0,14.0
3,15.0,10.0,16.0,6.0,7.0,19.0,2.0,17.0,11.0,13.0,1.0,12.0,5.0,4.0,20.0,18.0,9.0,3.0,8.0,14.0
4,15.0,10.0,17.0,6.0,7.0,20.0,2.0,16.0,11.0,13.0,1.0,12.0,5.0,4.0,19.0,18.0,9.0,3.0,8.0,14.0
5,15.0,10.0,17.0,6.0,7.0,20.0,2.0,16.0,11.0,13.0,1.0,12.0,5.0,4.0,19.0,18.0,9.0,3.0,8.0,14.0
6,15.0,10.0,17.0,6.0,7.0,20.0,2.0,16.0,11.0,13.0,1.0,12.0,5.0,4.0,19.0,18.0,9.0,3.0,8.0,14.0
7,16.0,10.0,17.0,6.0,7.0,20.0,2.0,15.0,11.0,13.0,1.0,12.0,5.0,4.0,19.0,18.0,9.0,3.0,8.0,14.0
8,16.0,10.0,17.0,6.0,7.0,20.0,2.0,15.0,11.0,13.0,1.0,12.0,5.0,4.0,19.0,18.0,9.0,3.0,8.0,14.0
9,15.0,9.0,16.0,5.0,6.0,19.0,2.0,14.0,10.0,12.0,1.0,11.0,4.0,,18.0,17.0,8.0,3.0,7.0,13.0
10,16.0,9.0,15.0,5.0,6.0,19.0,3.0,14.0,10.0,12.0,1.0,11.0,4.0,,18.0,17.0,8.0,2.0,7.0,13.0
11,17.0,5.0,13.0,8.0,11.0,19.0,3.0,16.0,6.0,9.0,1.0,7.0,4.0,,18.0,14.0,12.0,2.0,10.0,15.0
12,17.0,5.0,13.0,8.0,11.0,19.0,3.0,16.0,6.0,9.0,1.0,7.0,4.0,,18.0,14.0,12.0,2.0,10.0,15.0
13,17.0,5.0,13.0,8.0,11.0,19.0,3.0,16.0,6.0,9.0,1.0,7.0,4.0,,18.0,14.0,12.0,2.0,10.0,15.0
14,17.0,5.0,13.0,8.0,10.0,19.0,3.0,16.0,6.0,9.0,1.0,7.0,4.0,,18.0,15.0,11.0,2.0,12.0,14.0
15,17.0,5.0,13.0,8.0,10.0,19.0,3.0,16.0,6.0,9.0,1.0,7.0,4.0,,18.0,15.0,11.0,2.0,12.0,14.0
16,17.0,5.0,14.0,8.0,10.0,19.0,3.0,15.0,6.0,9.0,2.0,7.0,4.0,,18.0,16.0,11.0,1.0,12.0,13.0
17,17.0,5.0,14.0,8.0,10.0,19.0,3.0,15.0,6.0,9.0,2.0,7.0,4.0,,18.0,16.0,11.0,1.0,12.0,13.0
18,17.0,5.0,15.0,8.0,10.0,19.0,2.0,14.0,6.0,9.0,3.0,7.0,4.0,,18.0,16.0,11.0,1.0,12.0,13.0
19,17.0,8.0,15.0,7.0,9.0,19.0,2.0,14.0,5.0,10.0,3.0,6.0,4.0,,18.0,16.0,11.0,1.0,12.0,13.0
20,17.0,15.0,14.0,7.0,8.0,19.0,1.0,13.0,5.0,9.0,3.0,6.0,4.0,,18.0,16.0,10.0,2.0,11.0,12.0
21,17.0,14.0,15.0,5.0,8.0,19.0,6.0,13.0,7.0,9.0,2.0,4.0,3.0,,18.0,16.0,10.0,1.0,11.0,12.0
22,15.0,12.0,13.0,4.0,6.0,18.0,,11.0,16.0,7.0,2.0,5.0,3.0,,17.0,14.0,8.0,1.0,9.0,10.0
23,15.0,12.0,13.0,4.0,6.0,18.0,,11.0,16.0,8.0,2.0,5.0,3.0,,17.0,14.0,7.0,1.0,9.0,10.0
24,14.0,11.0,12.0,4.0,6.0,17.0,,10.0,15.0,8.0,2.0,5.0,3.0,,16.0,13.0,7.0,1.0,9.0,
25,14.0,11.0,12.0,4.0,6.0,17.0,,10.0,15.0,8.0,2.0,5.0,3.0,,16.0,13.0,7.0,1.0,9.0,
26,14.0,11.0,12.0,4.0,6.0,17.0,,10.0,15.0,9.0,2.0,5.0,3.0,,16.0,13.0,7.0,1.0,8.0,
27,14.0,10.0,12.0,4.0,5.0,17.0,,11.0,15.0,9.0,2.0,6.0,3.0,,16.0,13.0,7.0,1.0,8.0,
28,15.0,9.0,12.0,4.0,5.0,17.0,,11.0,14.0,10.0,2.0,6.0,3.0,,16.0,13.0,7.0,1.0,8.0,
29,15.0,9.0,12.0,4.0,5.0,17.0,,11.0,13.0,10.0,2.0,6.0,3.0,,16.0,14.0,7.0,1.0,8.0,
30,15.0,9.0,12.0,4.0,5.0,17.0,,11.0,13.0,10.0,2.0,6.0,3.0,,16.0,14.0,7.0,1.0,8.0,
31,15.0,9.0,12.0,4.0,5.0,17.0,,11.0,13.0,10.0,2.0,6.0,3.0,,16.0,14.0,7.0,1.0,8.0,
32,13.0,9.0,12.0,4.0,5.0,16.0,,,11.0,10.0,2.0,6.0,3.0,,15.0,14.0,7.0,1.0,8.0,
33,13.0,9.0,12.0,4.0,5.0,16.0,,,11.0,10.0,2.0,6.0,3.0,,15.0,14.0,7.0,1.0,8.0,
34,13.0,9.0,12.0,4.0,5.0,16.0,,,11.0,10.0,2.0,7.0,3.0,,15.0,14.0,6.0,1.0,8.0,
35,13.0,8.0,12.0,4.0,6.0,16.0,,,10.0,11.0,2.0,9.0,3.0,,15.0,14.0,5.0,1.0,7.0,
36,13.0,8.0,12.0,4.0,6.0,16.0,,,10.0,11.0,2.0,9.0,3.0,,15.0,14.0,5.0,1.0,7.0,
37,13.0,8.0,12.0,4.0,5.0,16.0,,,10.0,11.0,2.0,9.0,3.0,,15.0,14.0,6.0,1.0,7.0,
38,13.0,8.0,12.0,4.0,5.0,16.0,,,10.0,11.0,2.0,9.0,3.0,,15.0,14.0,6.0,1.0,7.0,
39,13.0,8.0,12.0,4.0,5.0,16.0,,,10.0,11.0,2.0,9.0,3.0,,15.0,14.0,7.0,1.0,6.0,
40,12.0,7.0,11.0,4.0,5.0,16.0,,,9.0,10.0,2.0,8.0,3.0,,15.0,14.0,13.0,1.0,6.0,
41,12.0,7.0,11.0,4.0,5.0,16.0,,,9.0,10.0,2.0,8.0,3.0,,15.0,14.0,13.0,1.0,6.0,
42,12.0,7.0,11.0,4.0,5.0,16.0,,,9.0,10.0,2.0,8.0,3.0,,15.0,14.0,13.0,1.0,6.0,
43,12.0,7.0,11.0,4.0,5.0,16.0,,,9.0,10.0,2.0,8.0,3.0,,15.0,14.0,13.0,1.0,6.0,
44,12.0,7.0,11.0,4.0,5.0,16.0,,,9.0,10.0,2.0,8.0,3.0,,15.0,14.0,13.0,1.0,6.0,
45,12.0,7.0,11.0,5.0,4.0,16.0,,,9.0,10.0,2.0,8.0,3.0,,15.0,14.0,13.0,1.0,6.0,
46,12.0,7.0,11.0,5.0,4.0,16.0,,,9.0,10.0,2.0,8.0,3.0,,15.0,14.0,13.0,1.0,6.0,
