Lap,Albon,Alonso,Bottas,Gasly,Hamilton,Latifi,Leclerc,Magnussen,Norris,Ocon,Perez,Ricciardo,Russell,Sainz,Schumacher,Stroll,Tsunoda,Verstappen,Vettel,Zhou
0,16.0,7.0,12.0,17.0,8.0,19.0,1.0,13.0,5.0,10.0,3.0,14.0,6.0,2.0,15.0,18.0,11.0,4.0,9.0,20.0
2,16.0,7.0,12.0,17.0,8.0,20.0,1.0,13.0,5.0,10.0,3.0,14.0,6.0,2.0,15.0,19.0,11.0,4.0,9.0,18.0
3,16.0,7.0,12.0,18.0,8.0,20.0,1.0,13.0,5.0,10.0,3.0,14.0,6.0,2.0,15.0,19.0,11.0,4.0,9.0,17.0
4,16.0,7.0,12.0,18.0,8.0,20.0,1.0,13.0,5.0,10.0,3.0,14.0,6.0,2.0,15.0,19.0,11.0,4.0,9.0,17.0
5,15.0,7.0,12.0,18.0,8.0,20.0,1.0,13.0,5.0,10.0,3.0,14.0,6.0,2.0,17.0,19.0,11.0,4.0,9.0,16.0
6,15.0,7.0,12.0,17.0,8.0,20.0,1.0,13.0,5.0,10.0,3.0,14.0,6.0,2.0,18.0,19.0,11.0,4.0,9.0,16.0
7,13.0,7.0,10.0,15.0,8.0,20.0,1.0,11.0,5.0,9.0,3.0,12.0,6.0,2.0,18.0,19.0,17.0,4.0,16.0,14.0
8,13.0,7.0,10.0,15.0,8.0,20.0,1.0,11.0,5.0,9.0,3.0,12.0,6.0,2.0,17.0,19.0,18.0,4.0,16.0,14.0
9,13.0,7.0,10.0,15.0,8.0,20.0,1.0,11.0,5.0,9.0,3.0,12.0,6.0,2.0,17.0,19.0,18.0,4.0,16.0,14.0
10,13.0,7.0,10.0,15.0,8.0,20.0,1.0,11.0,5.0,9.0,3.0,12.0,6.0,2.0,17.0,19.0,18.0,4.0,16.0,14.0
11,13.0,7.0,10.0,15.0,8.0,20.0,1.0,11.0,5.0,9.0,3.0,12.0,6.0,2.0,17.0,19.0,18.0,4.0,16.0,14.0
12,16.0,7.0,10.0,14.0,8.0,20.0,1.0,11.0,5.0,9.0,3.0,12.0,6.0,2.0,17.0,19.0,18.0,4.0,15.0,13.0
13,16.0,7.0,10.0,13.0,8.0,20.0,1.0,11.0,5.0,9.0,3.0,12.0,6.0,2.0,17.0,19.0,18.0,4.0,15.0,14.0
14,16.0,7.0,10.0,12.0,8.0,20.0,1.0,11.0,5.0,9.0,3.0,13.0,6.0,2.0,17.0,19.0,18.0,4.0,15.0,14.0
15,16.0,7.0,10.0,12.0,8.0,20.0,1.0,11.0,5.0,9.0,3.0,13.0,6.0,2.0,17.0,19.0,18.0,4.0,15.0,14.0
16,16.0,7.0,10.0,12.0,9.0,20.0,1.0,11.0,5.0,8.0,3.0,13.0,6.0,2.0,17.0,19.0,18.0,4.0,15.0,14.0
